Exercise Name,Body Part Engaged
Single Leg Dumbbell Side Bridge,"Abs, Hip"
Unilateral Lat Stretch on the Wall,"Back / Wing, Erector Spinae"
Forward Bend,"Erector Spinae, Hip, Leg"
Burpee Long Jump,"Cardio, Full Body"
Pendulum Lunge,"Hip, Leg"
Burpee With Push-Up,Full Body
Dumbbell Jefferson Curl,"Erector Spinae, Hip, Leg"
Bodyweight Standing Calf Raise,Calf
Standing Calf Raise With Dumbbell,Calf
Step Behind Rotational Med Ball Throw,Full Body
Cable Single Arm Hammer Curl,"Biceps, Forearm"
Heel-Elevated Goblet Squat,"Hip, Leg"
Seated Barbell Finger Curl,Forearm
Plate Push,Full Body
Body Saw Plank,"Abs, Full Body"
Standing Stomach Vacuum,Abs
Leg Swings Front to Back,"Hip, Leg"
Weighted Muscle-Up,"Back / Wing, Calisthenic"
PVC Hip Hinge,"Erector Spinae, Hip"
Bear Crawl,"Abs, Cardio, Full Body"
High Plank,"Abs, Calisthenic"
Clean and Jerk,Full Body
Band Assisted Muscle-Up,"Back / Wing, Calisthenic"
Top Half Pull-up,Back / Wing
Eccentric Pull-Up,Back / Wing
Wrist Rotations,Forearm
Barbell Hip Thrusts,Hip
One-Arm Single-Leg Bench Dips,Triceps
Bodyweight Plie Squat,"Hip, Leg"
Lean Planche,"Abs, Calisthenic, Full Body"
Full Planche,"Abs, Calisthenic, Full Body"
Side Plank Hip Adduction,"Abs, Full Body, Hip"
Single-Leg Dumbbell Hip Thrust,Hip
Barbell JM Press,Triceps
Bench Press,Chest
Smith Machine Squat,"Hip, Leg"
Dumbbell Cossack Squat,"Hip, Leg"
Seated Barbell Shoulder Press,Shoulders
Dumbbell Goblet Squat,"Hip, Leg"
Curtsy Lunge,"Hip, Leg"
Medicine Ball Rotational Throw,Abs
5 Dot Drills,"Cardio, Hip, Leg"
High Knee Lunge on Bosu Ball,"Hip, Leg"
Standing Leg Circles,"Hip, Leg"
Static Lunge,"Hip, Leg"
Navy Seal Burpee,"Cardio, Full Body"
Seated Zottman Curl,"Biceps, Forearm"
Dumbbell Walking Lunge,"Full Body, Hip, Leg"
Dumbbell Push Press,"Full Body, Shoulders"
Standing Barbell Concentration Curl,Biceps
Dumbbell Good Morning,"Erector Spinae, Hip, Leg"
Dumbbell Squat,"Hip, Leg"
Depth Jump to Hurdle Hop,"Cardio, Hip, Leg"
Waiter Curl,Biceps
Power Lunge,"Cardio, Hip, Leg"
Shadow Boxing,Cardio
Standing Dumbbell Shoulder Press,Shoulders
Dumbbell Deadlift,"Erector Spinae, Full Body, Hip, Leg"
Dumbbell Sumo Deadlift,"Erector Spinae, Full Body, Hip, Leg"
Bodyweight Lunge,"Hip, Leg"
Frog Stand,Calisthenic
Backward Medicine Ball Throw,Full Body
Bulgarian Split Squat Jump,"Hip, Leg"
Warrior 1 Pose,Yoga
Warrior 2 Pose,Yoga
Warrior 3 Pose,Yoga
Humble Warrior Pose,Yoga
Reverse Warrior Pose (Viparita Virabhadrasana),Yoga
Ustrasana,Yoga
Utthita Trikonasana (Extended Triangle Pose),Yoga
Zercher Carry,Full Body
Wall Walk,"Calisthenic, Full Body"
One Arm Triceps Pushdown,Triceps
Kettlebell Hang Clean,Full Body
Dragon Flag,"Abs, Calisthenic"
Dumbbell Power Clean,Full Body
Dumbbell Devil Press,Full Body
Ab Coaster Machine,Abs
Overhead Shrug,Trapezius
Overhead Squat,Full Body
Tiger Yoga Pose,Yoga
Barbell Glute Bridge Two Legs on Bench,Hip
Ski Ergometer,Full Body
Riding Outdoor Bicycle,Cardio
Human Flag,"Calisthenic, Full Body"
Farmer's Walk,Full Body
Log Lift,Full Body
Tire Sledge Hammer,Full Body
Tire Flip,Full Body
Barbell Snatch,Full Body
Power Snatch,Full Body
Muscle Snatch,Full Body
Heaving Snatch Balance,Full Body
Arm Scissors,"Chest, Shoulders"
Side Arm Raises,Shoulders
Weighted Lateral Neck Flexion,Neck
